Date,Pure Gold (24 k),Standard Gold (22 K)
2018-01-01,2948.0,2807.0
2018-01-02,2957.0,2816.0
2018-01-03,2960.0,2819.0
2018-01-04,2946.0,2806.0
2018-01-05,2959.0,2818.0
2018-01-06,2966.0,2825.0
2018-01-07,2966.0,2825.0
2018-01-08,2955.0,2814.0
2018-01-09,2962.0,2821.0
2018-01-10,2967.0,2826.0
2018-01-11,2975.0,2833.0
2018-01-12,2992.0,2850.0
2018-01-13,3012.0,2869.0
2018-01-14,3012.0,2869.0
2018-01-15,3017.0,2873.0
2018-01-16,3026.0,2882.0
2018-01-17,3023.0,2879.0
2018-01-18,3004.0,2861.0
2018-01-19,3019.0,2876.0
2018-01-20,3028.0,2884.0
2018-01-21,3028.0,2884.0
2018-01-22,3022.0,2878.0
2018-01-23,3026.0,2882.0
2018-01-24,3039.0,2895.0
2018-01-25,3068.0,2922.0
2018-01-26,3068.0,2922.0
2018-01-27,3068.0,2922.0
2018-01-28,3068.0,2922.0
2018-01-29,3040.0,2895.0
2018-01-30,3037.0,2892.0
2018-01-31,3045.0,2900.0
2018-02-01,3038.0,2893.0
2018-02-02,3064.0,2918.0
2018-02-03,3050.0,2905.0
2018-02-04,3050.0,2905.0
2018-02-05,3041.0,2896.0
2018-02-06,3057.0,2911.0
2018-02-07,3033.0,2889.0
2018-02-08,3001.0,2858.0
2018-02-09,3010.0,2866.0
2018-02-10,3023.0,2879.0
2018-02-11,3023.0,2879.0
2018-02-12,3021.0,2877.0
2018-02-13,3036.0,2891.0
2018-02-14,3033.0,2889.0
2018-02-15,3071.0,2925.0
2018-02-16,3087.0,2940.0
2018-02-17,3096.0,2949.0
2018-02-18,3096.0,2949.0
2018-02-19,3083.0,2936.0
2018-02-20,3073.0,2927.0
2018-02-21,3058.0,2912.0
2018-02-22,3054.0,2909.0
2018-02-23,3058.0,2912.0
2018-02-24,3067.0,2921.0
2018-02-25,3067.0,2921.0
2018-02-26,3073.0,2927.0
2018-02-27,3070.0,2924.0
2018-02-28,3053.0,2908.0
2018-03-01,3038.0,2893.0
2018-03-02,3049.0,2904.0
2018-03-03,3068.0,2922.0
2018-03-04,3068.0,2922.0
2018-03-05,3064.0,2918.0
2018-03-06,3054.0,2909.0
2018-03-07,3071.0,2925.0
2018-03-08,3061.0,2915.0
2018-03-09,3050.0,2905.0
2018-03-10,3066.0,2921.0
2018-03-11,3066.0,2921.0
2018-03-12,3046.0,2901.0
2018-03-13,3042.0,2897.0
2018-03-14,3054.0,2908.0
2018-03-15,3046.0,2900.0
2018-03-16,3041.0,2895.0
2018-03-17,3041.0,2895.0
2018-03-18,3041.0,2895.0
2018-03-19,3030.0,2886.0
2018-03-20,3043.0,2898.0
2018-03-21,3044.0,2899.0
2018-03-22,3069.0,2923.0
2018-03-23,3086.0,2939.0
2018-03-24,3105.0,2957.0
2018-03-25,3105.0,2957.0
2018-03-26,3094.0,2947.0
2018-03-27,3095.0,2947.0
2018-03-28,3084.0,2937.0
2018-03-29,3067.0,2921.0
2018-03-30,3066.0,2920.0
2018-03-31,3072.0,2926.0
2018-04-01,3072.0,2926.0
2018-04-02,3071.0,2925.0
2018-04-03,3085.0,2938.0
2018-04-04,3099.0,2952.0
2018-04-05,3065.0,2918.0
2018-04-06,3058.0,2912.0
2018-04-07,3075.0,2929.0
2018-04-08,3075.0,2929.0
2018-04-09,3070.0,2924.0
2018-04-10,3080.0,2934.0
2018-04-11,3107.0,2959.0
2018-04-12,3120.0,2971.0
2018-04-13,3108.0,2960.0
2018-04-14,3140.0,2992.0
2018-04-15,3140.0,2992.0
2018-04-16,3124.0,2975.0
2018-04-17,3127.0,2978.0
2018-04-18,3142.0,2992.0
2018-04-19,3155.0,3005.0
2018-04-20,3147.0,2995.0
2018-04-21,3151.0,3001.0
2018-04-22,3151.0,3001.0
2018-04-23,3137.0,2988.0
2018-04-24,3131.0,2982.0
2018-04-25,3147.0,2998.0
2018-04-26,3140.0,2990.0
2018-04-27,3129.0,2980.0
2018-04-28,3140.0,2990.0
2018-04-29,3140.0,2990.0
2018-04-30,3115.0,2966.0
2018-05-01,3114.0,2966.0
2018-05-02,3109.0,2960.0
